index,date,latitude,longitude,humidity,vapor_pressure,temperature,precip,solar_radiation,pressure,wind_speed,wind_direction_degree,feels_like,wind_direction,wind_scale,code,text,power
3543,22,37.891586,115.144497,81.95943046181235,9.65754462890245,9.386515000000031,0.0,0.0,1016.24004,0.4899854775,18.757528947840825,8.788653366029584,北东北,1,0,晴,0
3547,23,37.891586,115.144497,84.38594095162675,9.819427218505885,9.20025000000004,0.0,0.0,1016.60512,0.17034418,34.25093153142922,8.793651066377231,东北,0,0,晴,0
3551,0,37.891586,115.144497,85.73147346906744,9.769468257684784,8.890460000000019,0.0,0.0,1016.659115,0.4755746875,10.458247292083712,8.228706577958343,北,1,0,晴,0
3555,1,37.891586,115.144497,87.74091020639074,9.590120193440592,8.275315000000035,0.0,0.0,1016.679,0.39497408,340.11087732208046,7.563574820450207,北西北,1,0,晴,0
3559,2,37.891586,115.144497,88.9846617420806,9.269441194149705,7.569717500000024,0.0,0.0,1016.9217875,0.2093759525,337.7518294614233,6.878090189502056,北西北,0,0,晴,0
3563,3,37.891586,115.144497,93.14188563403526,9.087328860500396,6.615062500000022,0.0,0.0,1017.1060625,0.32656865,11.868921484201309,5.637200350674317,北东北,1,0,晴,0
3567,4,37.891586,115.144497,90.29089145444244,8.924564567888067,6.804140000000075,0.0,0.0,1017.4957500000002,0.4439003425,31.317234622399862,5.814654144895289,北东北,1,0,晴,0
3571,5,37.891586,115.144497,90.83069558247108,9.01382662629221,6.862190000000055,0.0,0.0,1017.901275,0.6175801274999999,22.8147124905602,5.779678371788818,北东北,1,0,晴,0
3575,6,37.891586,115.144497,95.70048087055672,9.330946465178975,6.605715000000032,0.0,0.0,1018.345775,0.2318645012499999,18.503427930550288,5.666722177152335,北东北,0,0,晴,0
3579,7,37.891586,115.144497,95.4664366183234,9.15993483284599,6.372965000000022,0.0,0.8144315999999999,1018.877725,0.31315516125,350.42248478436966,5.332664795321033,北,1,0,晴,0
3583,8,37.891586,115.144497,96.00535031720185,9.535940174582064,6.875305000000026,0.0,69.8919417,1019.807925,0.5849485525,312.2721851155816,5.75572862288504,西北,1,0,晴,-436168
3587,9,37.891586,115.144497,91.53419907900458,10.413464825862144,8.865985000000023,0.0,218.2032965,1020.665425,0.785365495,312.24266123087875,8.038803431266793,西北,1,0,晴,-2770916
3591,10,37.891586,115.144497,67.71938313302512,9.643197602081008,12.23090000000002,0.0,426.35895,1021.103345,0.8680387675,12.177817707627156,11.748012328364965,北东北,1,0,晴,-6017477
3595,11,37.891586,115.144497,38.88780477393156,6.610261734140258,14.950474999999985,0.0,519.079245,1021.15096,2.031818725,49.19948694177569,13.295657317343116,东北,2,0,晴,-9106366
3599,12,37.891586,115.144497,28.705755303413504,5.873589018930697,17.862790000000018,0.0,537.9439525,1021.019965,2.0094233,61.24834529710337,16.279046167098354,东东北,2,0,晴,-10535391
3603,13,37.891586,115.144497,28.31257435320062,6.177188109460764,18.886680000000013,0.0,511.8475625,1020.37615,1.564438625,55.5842789228612,17.724314819118415,东北,1,0,晴,-10444625
3607,14,37.891586,115.144497,28.66316524203187,6.3247941823419485,19.06790000000001,0.0,443.9173525,1019.577075,1.298993175,68.52649877410255,18.12018949429004,东东北,1,0,晴,-9235672
3611,15,37.891586,115.144497,26.715969783532383,5.871415568610857,19.003277500000024,0.0,321.7089925,1019.245725,1.0120403,99.71129881313593,18.147114280154224,东,1,0,晴,-6967542
3615,16,37.891586,115.144497,27.555363378800163,5.67484405699995,17.965745000000027,0.0,175.06403,1019.1993,0.962589025,116.4562546581962,17.029983285239737,东东南,1,0,晴,-3961865
3619,17,37.891586,115.144497,36.86908194263091,6.341153719858452,15.132967500000008,0.0,38.68165562499999,1019.332975,0.4436891625,108.3254153980229,14.469475955480416,东东南,1,0,晴,-1114304
3623,18,37.891586,115.144497,50.45085080475688,7.12634856201012,12.10818000000006,0.0,1.427731875,1019.762025,0.344746325,76.70532204564176,11.45439379615372,东东北,1,0,晴,-8208
3627,19,37.891586,115.144497,61.734307874002944,7.589849613475876,10.018590000000016,0.0,0.0,1020.35,0.2049612725,23.51649333876793,9.402246016707023,北东北,0,0,晴,0
3631,20,37.891586,115.144497,69.59255063749194,7.831502594587401,8.705060000000003,0.0,0.0,1020.8735375,0.1858897749999999,3.6400137429034487,8.279947676461905,北,0,0,晴,0
